,RA,DEC
245,17.629364,-30.072918
246,17.687282,-30.09387
247,17.697271999999998,-0.746876
248,17.727422,-31.64536
249,17.785048,-29.84431
250,17.7898,-29.538983
251,17.873743,-30.908017
252,18.098214,-28.901636
253,18.111928,-31.166013
254,18.149754,-30.203125
255,18.177959,-29.986961
256,18.195072,-30.993556
257,18.306415,-31.025055
258,18.417778,-32.025667
259,18.519147,-30.800411
260,18.536933,-32.070896
261,18.588561,-33.914878
262,18.653391,-30.78967
263,18.656306,-31.476209
264,18.673228,-1.017451
265,18.677231,-28.746831
266,18.677916,-1.097263
267,18.687595,-1.241558
268,18.70221,-30.96746
269,18.712385,-0.8158299999999999
270,18.733267,-29.747275
271,18.773148,-1.095427
272,18.859204,-30.490351
273,18.901483,-1.253828
274,18.902752,-1.254274
275,18.969427,-1.307608
276,19.124801,-1.155255
277,19.164487,-31.903098
278,19.21073,-32.31503
279,19.229044,-0.924272
280,19.386936,-1.243414
281,19.42794,-1.367755
282,19.459754,-1.143846
283,19.509508,-30.188743
284,19.638664,-0.792184
285,19.684345,-1.071834
286,19.708409,-1.168168
287,19.726325,-34.274515
288,19.78337,-29.316426
289,19.83172,-1.182415
290,19.863968,-1.406984
291,19.920385,-1.332221
292,19.929319,-34.38395
293,20.113117,-30.284362
294,20.225894,-30.266753
295,20.273673,-29.794947
296,20.315273,-0.58639
297,20.323048,-29.726223
298,20.339792,-35.131687
299,20.403318,-0.608334
300,20.438688,-30.431287
301,20.481405,-0.741002
302,20.489487,-30.446801
303,20.518247,-30.500379
304,20.569694,-1.189497
305,20.5837,-30.917266
306,20.592771,-1.150015
307,20.594929,-27.932001
308,20.654989,-0.822609
309,20.655881,-0.872045
310,20.788534,-1.474075
311,20.907332,-29.832557
312,20.92417,-29.567557
313,20.933086,-30.020743
314,20.946827,-1.290771
315,20.998476,-1.412108
316,21.052152,-1.264884
317,21.055424,-30.689434
318,21.101574,-1.225235
319,21.117812,-1.417736
320,21.173728,-30.611904
321,21.193755,-30.695277
322,21.203631,-1.342164
323,21.204253,-1.281096
324,21.210725,-1.268574
325,21.226893,0.739352
326,21.247771,-1.307589
327,21.270508,-1.478839
328,21.296387,-30.453923
329,21.304651,-1.428416
330,21.307406,-1.531816
331,21.341767,-1.121986
332,21.344767,-1.43216
333,21.366789,-1.333297
334,21.367035,-1.373676
335,21.3736,-1.496106
336,21.378927,-1.330295
337,21.397426,-30.033164
338,21.408407,-1.37013
339,21.41536,-1.117825
340,21.420883,-1.35067
341,21.425011,-30.126448
342,21.444102,-1.445116
343,21.445898,-1.315357
344,21.477651,-1.248213
345,21.493382,-1.278058
346,21.533046,-1.361506
347,21.551467,-0.997881
348,21.551744,-1.373407
349,21.56128,-1.465325
350,21.577068,-0.993789
351,21.577761,-1.402778
352,21.586673,-1.250244
353,21.611439,-1.407119
354,21.630321,-1.43629
355,21.6332,-27.862764
356,21.638445,-1.346859
357,21.638799,-1.313882
358,21.685869,-0.799601
359,21.694705,-1.31727
360,21.698922,-1.211923
361,21.709488,-1.379913
362,21.714707,-29.203715
363,21.723543,-1.056029
364,21.774396,-1.201019
365,21.791995,-1.399785
366,21.824086,-27.435826
367,21.825691,-1.268615
368,21.84949,-1.164407
369,21.913663,-29.199952
370,21.923295,-1.313872
371,21.934226,-1.353065
372,21.953683,-1.090614
373,21.988651,-1.19482
374,22.008292,-29.156995
375,22.011383,-0.770367
376,22.023544,-0.929454
377,22.082877,-1.374367
378,22.213137,-1.040986
379,22.227169,-28.865423
380,22.246958,-30.172182
381,22.328695,-0.812062
382,22.330395,-0.812343
383,22.339837,-28.018751
384,22.367134,-1.304542
385,22.377032,-28.392252
386,22.449842,-0.703212
387,22.462938,-0.78189
388,22.465811,-0.917944
389,22.478304,-1.39045
390,22.696354,-0.27548
391,22.74716,-31.35551
392,22.844022,-0.811931
393,22.873799,-0.578844
394,22.884744,-1.076715
395,23.008053,-0.888018
396,23.015765,-29.269832
397,23.020471,-0.697836
398,23.125141,-0.640144
399,23.308454,-29.496374
400,23.31055,-0.855141
401,23.350065,-29.258897
402,23.491809,-1.042676
403,23.698056,-29.004331
404,23.713696,-29.1715
405,23.772244,-1.230839
406,23.782956,-29.159284
407,23.874231,-29.866429
408,24.00979,-27.493382
409,24.087412,-29.5429
410,24.112246,-30.137015
411,24.14945,-28.236912
412,24.242499,-0.963006
413,24.470079,-27.711292
414,24.532832,-1.2769
415,24.559327,-28.649372
416,24.572835,-33.310586
417,24.677828,-1.232638
418,24.709208,-27.482087
419,24.749093,-29.075698
420,24.755907,-29.647155
421,24.760856,-28.279785
422,24.777269,-29.96216
423,24.826417,-0.684361
424,24.832056,-28.905669
425,24.879568,-28.980771
426,25.188219,-27.772761
427,25.361018,-0.599296
428,25.444965,-28.290418
429,25.455402,-29.133642
430,25.590944,-0.374
431,25.700385,-1.004677
432,25.833666,-1.386936
433,25.890566,-29.673279
434,25.958655,-0.823042
435,25.959498,-35.193364
436,26.056731,-35.484333
437,26.20758,0.263486
438,26.241712,-29.682861
439,26.333036,-29.061726
440,26.486185,-30.310944
441,26.490797,-29.665613
442,26.516491,-1.157719
443,26.727234,-31.216974
444,26.751277,-31.559417
445,26.814598,-35.678077
446,26.825117,-30.102448
447,26.830106,-29.466451
448,26.927322,-27.865334
449,27.103691,-34.912848
450,27.168545,-34.877421
451,27.200211,-29.182855
452,27.2271,-28.880073
453,27.294914,-35.225936
454,27.312605,-28.465368
455,27.381658,-29.866656
456,27.410088,-1.388592
457,27.463998,-29.615483
458,27.46733,-1.302792
459,27.501447,-27.550739
460,27.654484,-28.859775
461,27.82703,-29.330357
462,28.008096,-29.391148
463,28.066784,-0.825693
464,28.301618,-28.661409
465,28.321018,-1.446146
466,28.396532,-0.92574
467,28.400376,-29.421159
468,28.409924,-35.593985
469,28.497888,-0.49257
470,28.539523,-0.681406
471,28.556755,-35.62611
472,28.580374,-35.260631
473,28.673693,-0.683937
474,28.770144,-28.183776
475,28.967352,-28.157397
476,28.996506,-30.849135
477,29.063197,-30.053535
478,29.153872,-1.094561
479,29.205078,-35.040697
480,29.306688,-28.567757
481,29.324578,-1.216831
482,29.475817,-31.235573
483,29.489778,-29.469595
484,29.625814,-35.470863
485,29.850407,-1.258933
486,29.904052,-35.252059
487,29.963441,-28.145269
488,30.027479,-1.272079
489,30.045371,-29.26771
490,30.046084,-28.142707
491,30.088033,-28.78378
492,30.097936,-1.412082
493,30.099179,-46.567805
494,30.19366,-0.883967
495,30.206163,-29.870499
496,30.268008,-30.204663
497,30.294494,-28.909148
498,30.364044,-1.316125
499,30.595626,-1.293339
500,30.658297,-35.479242
501,30.719455,-1.222069
502,30.727264,-0.244165
503,30.797009,-1.257032
504,30.808119,-1.247378
505,30.972505,-1.479828
506,31.131434,-46.411707
